id_legado,arquivo_duplicado
1000060,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000062,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000148,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000033,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000089,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000100,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000063,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000118,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000006,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000096,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000015,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000155,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000137,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000132,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000170,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000106,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000182,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000069,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000086,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000123,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000141,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000050,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000027,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000138,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000181,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000176,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000039,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000147,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000126,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000186,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000125,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000049,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000051,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000068,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000154,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000036,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000026,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000113,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
2067952,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000108,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000164,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000046,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000035,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000040,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000003,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
2020261,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000097,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000149,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000014,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000179,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000168,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000110,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000031,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000093,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000167,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000099,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000002,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000005,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000052,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000136,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000101,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000114,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000043,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000087,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000127,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000178,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000067,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000175,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000058,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000159,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000061,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000134,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000075,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
